x,e0,e1,e2,e3
-4.,0.,0.001,0.004,0.
-3.95,0.,0.,0.004,0.001
-3.9,0.001,0.,0.004,0.003
-3.85,0.001,0.,0.004,0.004
-3.8,0.001,0.,0.004,0.006
-3.75,0.002,0.,0.004,0.008
-3.7,0.002,0.,0.003,0.011
-3.65,0.002,0.,0.003,0.013
-3.6,0.001,0.002,0.002,0.015
-3.55,0.001,0.002,0.001,0.016
-3.5,0.001,0.003,0.,0.017
-3.45,0.,0.004,0.,0.017
-3.4,0.,0.004,0.,0.017
-3.35,0.,0.005,0.001,0.015
-3.3,0.,0.005,0.002,0.013
-3.25,0.,0.005,0.004,0.01
-3.2,0.,0.005,0.006,0.007
-3.15,0.,0.005,0.008,0.004
-3.1,0.,0.004,0.01,0.001
-3.05,0.,0.004,0.012,0.
-3.,0.001,0.003,0.014,0.002
-2.95,0.002,0.002,0.016,0.006
-2.9,0.003,0.001,0.017,0.014
-2.85,0.003,0.,0.018,0.027
-2.8,0.004,0.,0.017,0.045
-2.75,0.004,0.,0.016,0.069
-2.7,0.004,0.002,0.014,0.1
-2.65,0.004,0.003,0.012,0.138
-2.6,0.004,0.005,0.009,0.182
-2.55,0.003,0.007,0.005,0.234
-2.5,0.003,0.01,0.003,0.291
-2.45,0.002,0.013,0.002,0.354
-2.4,0.001,0.015,0.002,0.422
-2.35,0.,0.018,0.006,0.492
-2.3,0.,0.019,0.013,0.564
-2.25,0.,0.021,0.024,0.636
-2.2,0.,0.021,0.041,0.707
-2.15,0.,0.02,0.064,0.773
-2.1,0.001,0.018,0.093,0.834
-2.05,0.003,0.015,0.129,0.888
-2.,0.005,0.012,0.173,0.932
-1.95,0.007,0.008,0.223,0.966
-1.9,0.009,0.005,0.279,0.99
-1.85,0.011,0.003,0.342,1.001
-1.8,0.014,0.002,0.409,0.999
-1.75,0.015,0.004,0.48,0.986
-1.7,0.017,0.01,0.552,0.96
-1.65,0.017,0.021,0.625,0.924
-1.6,0.017,0.037,0.696,0.877
-1.55,0.016,0.059,0.763,0.822
-1.5,0.014,0.088,0.826,0.76
-1.45,0.012,0.124,0.881,0.692
-1.4,0.008,0.168,0.927,0.622
-1.35,0.005,0.218,0.963,0.55
-1.3,0.002,0.276,0.987,0.478
-1.25,0.,0.339,1.,0.408
-1.2,0.,0.407,1.001,0.342
-1.15,0.002,0.479,0.989,0.281
-1.1,0.008,0.552,0.965,0.225
-1.05,0.018,0.625,0.931,0.175
-1.,0.033,0.696,0.886,0.133
-0.95,0.053,0.763,0.833,0.097
-0.9,0.08,0.824,0.773,0.067
-0.85,0.114,0.878,0.708,0.044
-0.8,0.154,0.923,0.64,0.027
-0.75,0.202,0.958,0.57,0.015
-0.7,0.256,0.983,0.5,0.008
-0.65,0.316,0.997,0.432,0.003
-0.6,0.381,1.,0.367,0.002
-0.55,0.45,0.993,0.306,0.003
-0.5,0.521,0.977,0.25,0.005
-0.45,0.593,0.954,0.199,0.007
-0.4,0.665,0.925,0.155,0.01
-0.35,0.733,0.893,0.116,0.014
-0.3,0.797,0.859,0.084,0.016
-0.25,0.855,0.826,0.057,0.019
-0.2,0.905,0.796,0.036,0.021
-0.15,0.946,0.77,0.02,0.023
-0.1,0.976,0.751,0.009,0.024
-0.05,0.994,0.739,0.002,0.024
0.,1.,0.735,0.,0.024
0.05,0.994,0.739,0.002,0.024
0.1,0.976,0.751,0.009,0.024
0.15,0.946,0.77,0.02,0.023
0.2,0.905,0.796,0.036,0.021
0.25,0.855,0.826,0.057,0.019
0.3,0.797,0.859,0.084,0.016
0.35,0.733,0.893,0.116,0.014
0.4,0.665,0.925,0.155,0.01
0.45,0.593,0.954,0.199,0.007
0.5,0.521,0.977,0.25,0.005
0.55,0.449,0.993,0.306,0.003
0.6,0.381,1.,0.367,0.002
0.65,0.316,0.997,0.432,0.003
0.7,0.256,0.983,0.5,0.008
0.75,0.202,0.958,0.57,0.015
0.8,0.154,0.923,0.64,0.027
0.85,0.114,0.878,0.708,0.044
0.9,0.08,0.824,0.773,0.067
0.95,0.053,0.763,0.833,0.097
1.,0.033,0.696,0.886,0.133
1.05,0.018,0.625,0.931,0.175
1.1,0.008,0.552,0.965,0.225
1.15,0.002,0.479,0.989,0.281
1.2,0.,0.407,1.001,0.342
1.25,0.,0.339,1.,0.408
1.3,0.002,0.276,0.987,0.478
1.35,0.005,0.218,0.963,0.55
1.4,0.008,0.168,0.927,0.622
1.45,0.012,0.124,0.881,0.692
1.5,0.014,0.088,0.826,0.76
1.55,0.016,0.059,0.763,0.822
1.6,0.017,0.037,0.696,0.877
1.65,0.017,0.021,0.625,0.924
1.7,0.017,0.01,0.552,0.96
1.75,0.015,0.004,0.48,0.986
1.8,0.014,0.002,0.409,0.999
1.85,0.011,0.003,0.342,1.001
1.9,0.009,0.005,0.279,0.99
1.95,0.007,0.008,0.223,0.966
2.,0.005,0.012,0.173,0.932
2.05,0.003,0.015,0.129,0.888
2.1,0.001,0.018,0.093,0.834
2.15,0.,0.02,0.064,0.773
2.2,0.,0.021,0.041,0.707
2.25,0.,0.021,0.024,0.636
2.3,0.,0.019,0.013,0.564
2.35,0.,0.018,0.006,0.492
2.4,0.001,0.015,0.002,0.422
2.45,0.002,0.013,0.002,0.354
2.5,0.003,0.01,0.003,0.291
2.55,0.003,0.007,0.005,0.234
2.6,0.004,0.005,0.009,0.182
2.65,0.004,0.003,0.012,0.138
2.7,0.004,0.002,0.014,0.1
2.75,0.004,0.,0.016,0.069
2.8,0.004,0.,0.017,0.045
2.85,0.003,0.,0.018,0.027
2.9,0.003,0.001,0.017,0.014
2.95,0.002,0.002,0.016,0.006
3.,0.001,0.003,0.014,0.002
3.05,0.,0.004,0.012,0.
3.1,0.,0.004,0.01,0.001
3.15,0.,0.005,0.008,0.004
3.2,0.,0.005,0.006,0.007
3.25,0.,0.005,0.004,0.01
3.3,0.,0.005,0.002,0.013
3.35,0.,0.005,0.001,0.015
3.4,0.,0.004,0.,0.017
3.45,0.,0.004,0.,0.017
3.5,0.001,0.003,0.,0.017
3.55,0.001,0.002,0.001,0.016
3.6,0.001,0.002,0.002,0.015
3.65,0.002,0.,0.003,0.013
3.7,0.002,0.,0.003,0.011
3.75,0.002,0.,0.004,0.008
3.8,0.001,0.,0.004,0.006
3.85,0.001,0.,0.004,0.004
3.9,0.001,0.,0.004,0.003
3.95,0.,0.,0.004,0.001
4.,0.,0.001,0.004,0.
