r,v,D
1.,0,0
1.2,0,0
1.4,0,0
1.6,0,0
1.8,0,0
2.,0,0
2.2,0,0
2.4,0,0
2.6,0,0
2.8,0,0
3.,0,0
3.2,0,0
3.4,0,0
3.6,0,0
3.8,0,0
4.,0,0
4.2,0,0
4.4,0,0
4.6,0,0
4.8,0,0
5.,0,0

1.,0.2,0.385
1.2,0.2,0.382
1.4,0.2,0.379
1.6,0.2,0.376
1.8,0.2,0.373
2.,0.2,0.37
2.2,0.2,0.368
2.4,0.2,0.365
2.6,0.2,0.362
2.8,0.2,0.36
3.,0.2,0.357
3.2,0.2,0.355
3.4,0.2,0.352
3.6,0.2,0.35
3.8,0.2,0.347
4.,0.2,0.345
4.2,0.2,0.342
4.4,0.2,0.34
4.6,0.2,0.338
4.8,0.2,0.336
5.,0.2,0.333

1.,0.4,0.69
1.2,0.4,0.671
1.4,0.4,0.654
1.6,0.4,0.637
1.8,0.4,0.621
2.,0.4,0.606
2.2,0.4,0.592
2.4,0.4,0.578
2.6,0.4,0.565
2.8,0.4,0.552
3.,0.4,0.541
3.2,0.4,0.529
3.4,0.4,0.518
3.6,0.4,0.508
3.8,0.4,0.498
4.,0.4,0.488
4.2,0.4,0.478
4.4,0.4,0.469
4.6,0.4,0.461
4.8,0.4,0.452
5.,0.4,0.444

1.,0.6,0.882
1.2,0.6,0.838
1.4,0.6,0.798
1.6,0.6,0.761
1.8,0.6,0.728
2.,0.6,0.698
2.2,0.6,0.67
2.4,0.6,0.644
2.6,0.6,0.62
2.8,0.6,0.598
3.,0.6,0.577
3.2,0.6,0.558
3.4,0.6,0.54
3.6,0.6,0.523
3.8,0.6,0.507
4.,0.6,0.492
4.2,0.6,0.478
4.4,0.6,0.464
4.6,0.6,0.452
4.8,0.6,0.44
5.,0.6,0.429

1.,0.8,0.976
1.2,0.8,0.905
1.4,0.8,0.844
1.6,0.8,0.791
1.8,0.8,0.743
2.,0.8,0.702
2.2,0.8,0.664
2.4,0.8,0.631
2.6,0.8,0.601
2.8,0.8,0.573
3.,0.8,0.548
3.2,0.8,0.525
3.4,0.8,0.504
3.6,0.8,0.484
3.8,0.8,0.466
4.,0.8,0.449
4.2,0.8,0.434
4.4,0.8,0.419
4.6,0.8,0.406
4.8,0.8,0.393
5.,0.8,0.381

1.,1.,1.
1.2,1.,0.909
1.4,1.,0.833
1.6,1.,0.769
1.8,1.,0.714
2.,1.,0.667
2.2,1.,0.625
2.4,1.,0.588
2.6,1.,0.556
2.8,1.,0.526
3.,1.,0.5
3.2,1.,0.476
3.4,1.,0.455
3.6,1.,0.435
3.8,1.,0.417
4.,1.,0.4
4.2,1.,0.385
4.4,1.,0.37
4.6,1.,0.357
4.8,1.,0.345
5.,1.,0.333

1.,1.2,0.984
1.2,1.2,0.88
1.4,1.2,0.796
1.6,1.2,0.726
1.8,1.2,0.668
2.,1.2,0.619
2.2,1.2,0.576
2.4,1.2,0.539
2.6,1.2,0.506
2.8,1.2,0.477
3.,1.2,0.451
3.2,1.2,0.428
3.4,1.2,0.407
3.6,1.2,0.388
3.8,1.2,0.371
4.,1.2,0.355
4.2,1.2,0.341
4.4,1.2,0.327
4.6,1.2,0.315
4.8,1.2,0.303
5.,1.2,0.293

1.,1.4,0.946
1.2,1.4,0.835
1.4,1.4,0.748
1.6,1.4,0.677
1.8,1.4,0.618
2.,1.4,0.569
2.2,1.4,0.527
2.4,1.4,0.491
2.6,1.4,0.459
2.8,1.4,0.432
3.,1.4,0.407
3.2,1.4,0.385
3.4,1.4,0.365
3.6,1.4,0.348
3.8,1.4,0.331
4.,1.4,0.317
4.2,1.4,0.303
4.4,1.4,0.291
4.6,1.4,0.28
4.8,1.4,0.269
5.,1.4,0.259

1.,1.6,0.899
1.2,1.6,0.786
1.4,1.6,0.698
1.6,1.6,0.628
1.8,1.6,0.571
2.,1.6,0.523
2.2,1.6,0.483
2.4,1.6,0.448
2.6,1.6,0.418
2.8,1.6,0.392
3.,1.6,0.369
3.2,1.6,0.348
3.4,1.6,0.33
3.6,1.6,0.313
3.8,1.6,0.298
4.,1.6,0.285
4.2,1.6,0.272
4.4,1.6,0.261
4.6,1.6,0.25
4.8,1.6,0.241
5.,1.6,0.232

1.,1.8,0.849
1.2,1.8,0.736
1.4,1.8,0.65
1.6,1.8,0.582
1.8,1.8,0.527
2.,1.8,0.481
2.2,1.8,0.443
2.4,1.8,0.41
2.6,1.8,0.382
2.8,1.8,0.357
3.,1.8,0.336
3.2,1.8,0.317
3.4,1.8,0.3
3.6,1.8,0.284
3.8,1.8,0.27
4.,1.8,0.258
4.2,1.8,0.246
4.4,1.8,0.236
4.6,1.8,0.226
4.8,1.8,0.217
5.,1.8,0.209

1.,2.,0.8
1.2,2.,0.69
1.4,2.,0.606
1.6,2.,0.541
1.8,2.,0.488
2.,2.,0.444
2.2,2.,0.408
2.4,2.,0.377
2.6,2.,0.351
2.8,2.,0.328
3.,2.,0.308
3.2,2.,0.29
3.4,2.,0.274
3.6,2.,0.26
3.8,2.,0.247
4.,2.,0.235
4.2,2.,0.225
4.4,2.,0.215
4.6,2.,0.206
4.8,2.,0.198
5.,2.,0.19

1.,2.2,0.753
1.2,2.2,0.646
1.4,2.2,0.566
1.6,2.2,0.503
1.8,2.2,0.453
2.,2.2,0.412
2.2,2.2,0.378
2.4,2.2,0.349
2.6,2.2,0.324
2.8,2.2,0.302
3.,2.2,0.284
3.2,2.2,0.267
3.4,2.2,0.252
3.6,2.2,0.239
3.8,2.2,0.227
4.,2.2,0.216
4.2,2.2,0.206
4.4,2.2,0.197
4.6,2.2,0.189
4.8,2.2,0.182
5.,2.2,0.175

1.,2.4,0.71
1.2,2.4,0.607
1.4,2.4,0.53
1.6,2.4,0.47
1.8,2.4,0.422
2.,2.4,0.383
2.2,2.4,0.351
2.4,2.4,0.324
2.6,2.4,0.3
2.8,2.4,0.28
3.,2.4,0.263
3.2,2.4,0.247
3.4,2.4,0.233
3.6,2.4,0.221
3.8,2.4,0.21
4.,2.4,0.2
4.2,2.4,0.191
4.4,2.4,0.182
4.6,2.4,0.175
4.8,2.4,0.168
5.,2.4,0.161

1.,2.6,0.67
1.2,2.6,0.571
1.4,2.6,0.497
1.6,2.6,0.44
1.8,2.6,0.395
2.,2.6,0.358
2.2,2.6,0.328
2.4,2.6,0.302
2.6,2.6,0.28
2.8,2.6,0.261
3.,2.6,0.244
3.2,2.6,0.23
3.4,2.6,0.217
3.6,2.6,0.205
3.8,2.6,0.195
4.,2.6,0.185
4.2,2.6,0.177
4.4,2.6,0.169
4.6,2.6,0.162
4.8,2.6,0.155
5.,2.6,0.149

1.,2.8,0.633
1.2,2.8,0.538
1.4,2.8,0.468
1.6,2.8,0.413
1.8,2.8,0.371
2.,2.8,0.336
2.2,2.8,0.307
2.4,2.8,0.283
2.6,2.8,0.262
2.8,2.8,0.244
3.,2.8,0.228
3.2,2.8,0.215
3.4,2.8,0.202
3.6,2.8,0.192
3.8,2.8,0.182
4.,2.8,0.173
4.2,2.8,0.165
4.4,2.8,0.158
4.6,2.8,0.151
4.8,2.8,0.145
5.,2.8,0.139

1.,3.,0.6
1.2,3.,0.508
1.4,3.,0.441
1.6,3.,0.39
1.8,3.,0.349
2.,3.,0.316
2.2,3.,0.288
2.4,3.,0.265
2.6,3.,0.246
2.8,3.,0.229
3.,3.,0.214
3.2,3.,0.201
3.4,3.,0.19
3.6,3.,0.18
3.8,3.,0.17
4.,3.,0.162
4.2,3.,0.155
4.4,3.,0.148
4.6,3.,0.142
4.8,3.,0.136
5.,3.,0.13

1.,3.2,0.569
1.2,3.2,0.482
1.4,3.2,0.417
1.6,3.2,0.368
1.8,3.2,0.329
2.,3.2,0.298
2.2,3.2,0.272
2.4,3.2,0.25
2.6,3.2,0.232
2.8,3.2,0.216
3.,3.2,0.202
3.2,3.2,0.19
3.4,3.2,0.179
3.6,3.2,0.169
3.8,3.2,0.16
4.,3.2,0.153
4.2,3.2,0.145
4.4,3.2,0.139
4.6,3.2,0.133
4.8,3.2,0.128
5.,3.2,0.123

1.,3.4,0.541
1.2,3.4,0.457
1.4,3.4,0.396
1.6,3.4,0.349
1.8,3.4,0.312
2.,3.4,0.282
2.2,3.4,0.257
2.4,3.4,0.237
2.6,3.4,0.219
2.8,3.4,0.204
3.,3.4,0.191
3.2,3.4,0.179
3.4,3.4,0.169
3.6,3.4,0.16
3.8,3.4,0.151
4.,3.4,0.144
4.2,3.4,0.137
4.4,3.4,0.131
4.6,3.4,0.126
4.8,3.4,0.12
5.,3.4,0.116

1.,3.6,0.516
1.2,3.6,0.435
1.4,3.6,0.376
1.6,3.6,0.331
1.8,3.6,0.296
2.,3.6,0.267
2.2,3.6,0.244
2.4,3.6,0.224
2.6,3.6,0.208
2.8,3.6,0.193
3.,3.6,0.181
3.2,3.6,0.17
3.4,3.6,0.16
3.6,3.6,0.151
3.8,3.6,0.143
4.,3.6,0.136
4.2,3.6,0.13
4.4,3.6,0.124
4.6,3.6,0.119
4.8,3.6,0.114
5.,3.6,0.109

1.,3.8,0.492
1.2,3.8,0.415
1.4,3.8,0.358
1.6,3.8,0.315
1.8,3.8,0.282
2.,3.8,0.254
2.2,3.8,0.232
2.4,3.8,0.213
2.6,3.8,0.197
2.8,3.8,0.183
3.,3.8,0.171
3.2,3.8,0.161
3.4,3.8,0.152
3.6,3.8,0.143
3.8,3.8,0.136
4.,3.8,0.129
4.2,3.8,0.123
4.4,3.8,0.118
4.6,3.8,0.113
4.8,3.8,0.108
5.,3.8,0.104

1.,4.,0.471
1.2,4.,0.396
1.4,4.,0.342
1.6,4.,0.301
1.8,4.,0.268
2.,4.,0.242
2.2,4.,0.221
2.4,4.,0.203
2.6,4.,0.188
2.8,4.,0.175
3.,4.,0.163
3.2,4.,0.153
3.4,4.,0.144
3.6,4.,0.137
3.8,4.,0.129
4.,4.,0.123
4.2,4.,0.117
4.4,4.,0.112
4.6,4.,0.107
4.8,4.,0.103
5.,4.,0.0988

