B-V,M_V
0.7400,1.3282
0.8000,0.5282
1.5000,-1.4718
0.7800,1.0082
0.6900,0.6682
0.7500,0.7182
0.7800,1.0882
0.7300,0.5082
0.6700,0.5682
0.6100,0.7582
0.5500,0.7682
1.9100,-1.3418
1.3900,-0.9418
0.7200,0.6382
0.9600,0.4082
0.7400,1.3282
0.8300,0.9982
0.5600,0.8982
0.6500,1.3382
0.8600,0.6982
1.4700,-1.1918
0.7100,1.3282
0.7000,1.4782
0.7500,1.3782
0.6200,1.8982
0.6000,1.7182
0.8600,0.6582
1.1200,0.1082
0.6900,1.5782
0.8100,0.7282
0.9700,0.1582
0.7700,1.2782
0.7400,0.8082
0.9200,0.6482
0.6900,1.6482
0.6400,0.7382
1.1700,-0.4518
1.0000,0.2982
1.1000,-0.1318
0.8000,0.4882
1.0800,-0.1518
0.7800,0.5882
0.8700,0.9682
0.8000,1.1282
1.1300,0.0082
0.8000,1.2482
1.1100,-0.0118
0.6700,0.7682
0.9800,0.6882
0.7800,1.2682
0.5800,1.6982
1.3400,-0.8118
0.7900,0.5982
1.1400,0.3182
1.2900,-0.7418
0.9000,0.2382
0.8100,1.5482
0.9000,1.0782
0.8600,0.6782
0.7400,0.3682
0.8700,0.9782
0.8100,1.1882
1.1500,0.0682
0.7800,1.5182
1.2400,-0.3018
1.3600,-0.8818
0.9500,1.0682
1.4000,-0.9418
0.9300,0.4682
0.8800,0.9982
1.1800,0.0182
1.3900,-0.9618
0.8500,0.5182
0.6600,1.5082
1.1600,0.2782
1.5800,-1.7218
1.5900,-1.4218
1.6100,-1.4218
0.9100,0.6282
0.9300,0.4382
1.6100,-1.5118
0.7600,1.5082
1.0500,0.8682
0.6700,0.7982
0.9300,0.4682
0.9900,1.1482
1.3200,-0.6418
0.8100,1.3482
0.9100,0.9782
1.0900,-0.2918
0.9100,0.4882
1.3500,-0.6918
0.8600,0.5282
0.8600,1.1682
1.2700,-0.5618
0.7700,0.3582
0.8900,0.6582
0.9500,1.2982
0.8000,0.9782
0.8200,0.7382
1.0300,0.3982
1.3500,-0.8318
0.8200,0.5282
0.8200,0.6182
0.9800,0.6482
0.8200,0.5482
1.4800,-1.4318
0.8200,1.0182
0.7300,0.4082
0.7800,1.1582
1.1500,-0.3718
0.7800,1.4882
1.1000,0.1282
1.1400,0.1582
1.5800,-1.5318
0.6500,0.4782
0.8800,0.6482
0.7800,0.6482
0.7400,0.7482
0.9300,0.3782
0.8300,0.5882
0.9000,1.1382
0.7700,1.5582
0.8700,1.1982
1.2600,-0.4118
0.8800,0.5882
0.8400,0.4382
0.7500,0.6682
0.7600,0.4982
0.8400,1.1282
0.9000,0.8782
0.7100,1.3682
0.8400,1.1782
0.8900,0.9082
0.7300,1.5782
0.7600,0.7082
0.8200,1.0982
1.0800,0.2082
1.2900,-0.9118
0.6700,1.5982
0.8800,1.0282
0.7000,0.4682
0.7000,1.4082
0.7700,0.6182
0.8300,0.5182
0.8300,0.3282
0.8500,0.4982
1.2900,-0.7418
1.1300,-0.1718
0.7500,0.4882
0.6500,1.3382
1.0300,-0.3718
0.9500,0.7082
0.6000,1.4582
0.7500,0.4482
0.7700,0.5582
0.9100,0.7682
0.7700,1.3082
0.7600,0.4382
0.7900,0.4782
0.7200,0.6582
1.1500,-0.0518
0.6600,1.3582
1.2500,-0.8918
0.6800,1.5082
0.7300,0.7282
0.9500,0.4482
0.8400,0.6382
0.9300,0.6582
0.7700,1.2782
0.8300,1.0682
1.2100,-0.3118
0.7100,1.6182
0.7400,0.6782
0.7500,0.7082
0.8000,0.6982
1.1800,-0.1918
0.7600,1.2482
0.6300,0.7382
1.1300,-0.5318
1.0800,-0.3418
0.9700,0.7782
0.7700,0.7082
0.6800,0.7582
0.8600,0.3682
1.2800,-0.6318
1.0700,0.0482
0.8400,0.3082
0.7800,0.5282
0.7800,0.5382
1.0100,0.2282
0.7700,0.9982
1.1300,0.0682
0.8200,0.4782
0.6500,0.6182
0.8300,0.5082
0.7800,0.6182
0.8100,0.9782
0.8400,1.1582
1.1000,-0.2218
0.8600,1.0982
0.7800,1.1982
0.6500,1.4882
0.6800,0.8282
1.5400,-1.5018
0.6500,1.4982
0.6900,1.2782
0.7700,0.5282
1.0800,0.8882
0.7300,0.6582
1.4500,-1.4018
1.1800,-0.7018
0.8300,0.9682
0.7700,0.4982
0.7500,0.6182
0.7200,0.7182
0.7500,0.5782
0.7100,1.4482
1.0100,-0.2418
1.2800,-0.8218
0.7300,0.8382
0.6700,1.3182
0.7200,0.7982
0.6800,0.7582
0.9000,1.0282
1.5300,-1.4218
1.3600,-1.0718
0.6700,0.7382
0.7200,0.8282
0.9800,0.2582
0.7300,1.2882
1.0700,-0.4518
0.7400,0.4982
1.1200,-0.3718
0.8800,0.8382
1.3300,-1.0518
0.7400,1.1182
0.8900,0.5982
0.7000,1.4982
0.6600,1.4282
0.6200,0.6982
0.6500,0.6382
0.6800,0.7182
0.6300,0.6282
0.7000,0.8582
0.6700,0.7882
0.7800,0.8182
0.6400,0.8082
0.6500,1.4882
0.9500,-0.0218
0.7500,0.5782
1.0700,-0.1218
1.1300,-1.3718
1.0400,0.0482
0.6100,0.3082
0.9000,0.8282
0.6300,0.7982
0.8000,1.1682
0.7600,0.9782
0.7200,0.6382
0.6900,1.3682
0.7200,0.7982
0.8100,0.8582
0.7500,0.5182
0.7000,0.7082
0.7700,1.1482
0.5800,0.7082
0.7000,1.2682
0.6300,0.7982
1.2100,-0.7918
0.9500,0.3982
0.8100,1.1482
0.6500,1.3182
0.6600,1.5482
0.5600,0.8182
1.3300,-1.0418
0.6900,0.7382
1.0600,-0.2318
1.3500,-1.0918
0.7600,0.6882
0.6200,1.2382
0.7000,0.7182
1.3700,-1.2118
0.6100,0.8682
0.6700,0.8182
1.0200,-0.0118
0.7200,0.4682
0.5700,0.7682
0.7900,1.0882
0.7200,0.5882
0.5800,0.8282
1.0300,0.0382
0.6900,1.3482
0.7100,1.3282
0.5400,0.7782
0.5700,0.8582
0.7400,1.4682
0.6500,0.8982
1.4900,-1.3118
0.5300,4.4482
0.5200,5.1382
0.7800,2.7182
0.8100,2.7482
0.7400,3.7682
0.4600,4.5082
0.5100,4.6382
0.4400,4.2982
0.4000,4.5282
0.4800,4.0482
0.6500,5.1282
0.6800,3.8882
1.0000,3.7282
0.5500,4.7982
0.6000,4.5982
0.5700,4.9782
0.5800,5.0782
0.5100,4.0782
0.5000,4.9582
0.5800,4.9682
0.6400,5.1882
0.6400,4.9782
0.5600,5.1682
0.6600,5.0282
0.5600,4.0082
0.5200,4.8882
0.5500,4.9082
0.4800,4.0882
0.4900,4.4482
0.7900,1.6582
0.4800,4.4782
0.4200,4.2082
0.5300,4.0582
0.4700,4.4682
0.5300,5.0782
0.7800,3.1382
0.5400,4.2682
0.4900,4.7382
0.5900,4.3382
0.6200,4.6982
0.5100,4.8682
0.7400,2.5482
0.5500,4.2882
0.6100,2.5382
0.6200,4.6482
0.4900,4.6082
0.4100,4.6282
0.4700,4.0082
0.7300,3.9582
0.5000,4.2282
0.5900,5.0282
0.6900,4.9282
0.6200,1.4082
0.5500,4.5782
0.4800,5.1082
0.7300,1.7782
0.4900,4.5182
0.5300,4.4382
0.7400,3.6582
0.5600,5.1282
0.7900,3.3382
0.4900,4.1382
0.6600,3.9682
0.5500,4.5282
0.7600,1.8882
0.4800,4.2482
0.4400,4.0382
0.7000,0.8682
0.7000,2.7682
0.7400,3.0582
0.4700,4.3382
0.5500,4.6782
0.5500,4.7882
0.5400,4.1982
0.5900,4.8582
0.5000,4.4582
0.6900,3.7082
0.4500,4.3482
0.4800,4.0382
0.4800,4.4082
0.7200,0.8282
0.6900,5.1182
0.4800,4.2982
0.6900,4.7882
0.7100,3.1882
0.5200,4.3082
0.4800,4.1482
0.8700,1.2082
0.7800,2.8382
0.6200,4.9482
0.4100,4.1582
0.4200,4.6782
0.8900,1.8882
0.4500,4.3782
0.4600,4.9582
0.5800,4.7982
0.6600,5.0682
0.7300,1.9082
0.3400,3.5982
0.7600,1.8582
0.4800,4.2982
0.5300,4.4482
0.7900,4.9682
0.6400,3.9082
0.5300,4.3682
0.6000,5.1082
0.5600,1.0982
0.5800,4.9082
1.1100,4.5982
1.4200,4.2882
0.4100,5.0182
0.5000,4.2682
0.7300,0.7682
0.4600,2.2682
0.7800,0.7982
0.7700,0.8182
0.8300,2.3782
0.6900,0.8282
0.9200,1.9282
0.8700,2.3382
0.7800,0.8482
0.7400,0.8382
0.7500,0.7682
0.7400,1.8882
0.6500,0.7582
0.8200,1.8382
0.8200,1.3282
0.8200,1.5482
0.6900,0.7182
0.7600,0.7482
0.7800,1.8682
0.8600,1.1482
0.7800,2.0982
0.7700,1.7382
0.7100,0.8182
0.7700,1.7882
0.8700,2.3682
0.9300,1.1082
0.6500,0.7682
0.7800,2.0682
0.7600,2.2482
0.9000,1.3482
0.9300,2.3582
0.7400,2.0582
0.7900,2.3182
0.7900,1.8382
0.7700,1.8282
0.7900,1.4882
0.7400,0.8182
0.8600,1.2282
0.8100,2.0982
0.8500,2.2282
-0.3300,1.9382
0.7700,0.8082
0.6700,1.0882
0.8900,1.1082
0.7500,0.7782
1.2800,-0.8818
0.7000,2.2982
0.7300,2.8682
0.7800,2.8382
0.9000,1.2182
0.7300,2.8182
0.8600,0.2982
0.7800,2.5682
0.7100,3.2382
0.7500,2.4582
0.7600,0.8382
0.8000,0.7782
1.0100,0.3882
0.7200,2.8882
0.7900,0.6582
0.7700,2.9382
1.0500,0.4182
1.0900,0.0282
0.7900,1.8282
0.8100,1.8582
0.8000,2.1782
1.0400,0.3082
0.6800,2.4682
0.7800,0.7882
0.8900,1.0182
0.7200,0.8082
0.7200,2.7182
0.7400,2.8682
0.7000,0.8182
0.6000,-0.0818
0.8700,1.3882
0.6200,2.4182
0.5200,-1.0418
0.6600,1.8682
0.7700,2.5382
0.8800,1.1382
0.8900,1.2682
0.7900,2.5782
0.7100,0.7682
0.9800,0.4282
0.8400,3.0782
1.2100,-0.3518
1.3500,-0.8218
0.8600,1.5582
0.4800,2.6582
0.8000,0.7582
0.9200,2.5082
1.4300,-1.1118
1.4200,-1.0918
0.8100,0.7182
0.6200,2.7182
1.5700,-1.4718
1.0400,0.3082
0.7400,2.5482
0.4200,2.6282
0.7800,1.7782
0.7500,2.3282
0.7500,0.4782
0.7100,3.0182
0.1500,2.2182
0.7200,2.4182
0.8200,2.2482
0.7300,2.5882
0.9100,0.9282
0.7600,0.8382
0.8300,1.2982
0.7500,2.1182
0.8000,1.6682
0.8800,1.4782
0.7400,2.7182
0.8100,0.8482
0.7400,2.0682
0.4800,2.5782
0.7800,1.7182
1.0400,0.5382
0.7700,2.1482
1.2400,-0.4418
0.8200,2.8282
0.7800,2.5182
0.9400,-0.4518
1.4100,-1.2218
0.3800,2.5882
0.7500,2.0282
0.9000,-0.9918
0.7000,0.8182
0.8900,1.2982
0.8600,2.7582
0.8800,1.0582
0.1600,2.5282
0.8600,1.2282
0.7700,2.4582
0.8100,3.1482
0.8500,2.3282
0.8500,1.2482
0.8600,1.1882
0.7700,3.0282
0.8600,1.1782
0.6600,0.8282
1.0450,0.6082
0.9000,1.3582
0.9850,1.0182
0.7650,0.9082
0.8250,0.8782
0.8300,1.9182
1.0550,0.3282
1.1600,-0.0818
1.0900,0.2582
1.3000,-0.7118
1.5400,-1.5218
1.5100,-1.1718
1.5450,-1.2018
0.9600,1.1282
0.6250,1.0282
0.7650,0.8582
0.9800,1.4182
1.2500,-0.2618
1.2400,-0.4018
1.5650,-1.3118
0.8050,0.8582
0.9000,1.2982
0.9800,1.1182
0.9100,0.6982
0.7600,2.4482
0.7900,0.8382
1.0900,0.4782
1.2600,-0.2418
1.4000,-0.7418
0.9900,1.5382
0.8700,0.8082
1.5100,-1.0218
1.4800,-1.0318
1.6000,-1.3218
1.0800,0.3782
0.4000,2.0882
0.9200,2.4182
0.9100,2.4182
0.8400,1.0582
0.9500,1.3582
0.8900,1.6782
0.8600,0.9082
0.8700,2.0882
0.9100,1.8382
1.1000,0.5882
1.3000,-0.4218
0.8800,2.5482
1.0800,-0.4018
1.4700,-1.0918
0.5200,2.4882
1.0700,-0.8718
0.8400,0.8382
0.9400,1.3782
0.9900,1.1682
0.7800,0.8982
1.0700,0.8382
0.6400,0.1682
0.9900,1.0482
1.0200,0.9182
1.0000,0.7482
1.1700,-0.4118
0.6500,1.3382
0.9100,1.3782
0.9000,0.7082
0.9800,-0.0718
-0.0900,1.7282
1.4200,-0.7518
1.2000,-0.2818
1.1100,0.6182
1.5200,-1.5318
1.5500,-1.1618
0.9900,1.1882
1.2500,-0.2818
1.3200,-0.5718
1.0300,0.6382
0.8100,0.8682
1.0800,-0.2018
1.0300,-0.0618
1.0900,0.1082
1.1100,0.0482
1.6100,-1.3218
1.1600,-4.9418
0.7100,-3.1618
0.5200,-4.7318
0.7600,-4.1518
0.4700,-2.6418
0.4800,-4.3618
1.1200,-3.6818
0.8300,0.8682
0.8000,0.7882
0.8600,0.7982
0.8900,0.7782
0.7900,0.8382
0.8000,0.7582
0.8200,0.6982
0.8700,0.8182
0.8600,0.7182
0.8000,0.8282
0.8500,0.8182
0.8000,0.8282
0.8600,0.8382
0.8200,0.8082
0.7800,0.7682
0.8300,0.8682
0.8600,0.8282
0.8200,0.8382
0.8100,0.8882
0.9000,0.7482
0.7700,0.7582
0.8700,0.8382
0.8500,0.8382
0.8900,0.8382
0.9400,1.2582
0.9400,1.0782
0.8100,0.8582
0.7400,0.8282
1.0400,0.4982
1.3700,-0.7618
0.9000,0.7382
1.5000,-1.0818
1.4600,-1.0518
1.5800,-1.3418
1.0900,0.3382
0.8300,2.3782
0.8800,2.2682
0.9200,1.2982
0.8300,0.8582
0.9300,1.6882
1.1100,0.5482
1.2800,-0.4218
0.8800,2.4682
1.0700,-0.4418
1.4600,-1.1218
1.0600,-0.9018
0.8600,0.8582
0.8100,0.8182
1.0300,0.8682
0.9800,1.0382
1.0500,0.6582
0.9300,0.6082
-0.0700,1.7182
1.6000,-1.3618
1.3200,-0.7518
1.0800,0.5082
0.9700,1.3782
0.7700,0.9082
0.9500,1.3682
1.0300,0.7082
1.6200,-1.1918
0.9800,1.4482
0.9300,2.2082
0.8100,0.9882
0.8700,1.8182
0.7900,0.9482
0.8300,0.9782
0.8800,1.8782
1.1300,0.0582
1.0800,0.1782
0.9200,1.2682
0.9800,1.2282
1.0900,0.3682
1.1600,-0.0818
1.2900,-0.6618
0.8900,0.8682
1.2800,-0.7118
0.7200,0.8182
1.5400,-1.2318
0.9300,1.0482
0.9000,1.4182
1.2100,-0.2618
0.9400,1.1182
1.0600,-0.0418
0.8000,0.9082
0.8200,1.3382
0.9600,1.4182
1.2100,-0.1718
0.9400,1.2582
0.9700,1.3882
1.1300,0.2182
0.8100,0.9382
0.8200,0.9382
0.7900,0.8982
1.0700,1.0382
0.9200,1.3482
1.0400,0.0582
0.9600,1.1182
0.9100,1.6182
1.5200,-1.3618
0.8200,0.9282
0.9000,1.2782
1.5600,-1.3218
1.4100,-0.9518
1.0100,1.1882
0.8700,0.7982
0.8000,0.6782
0.8400,0.8982
0.8800,0.9382
0.8500,1.0482
0.9000,0.7082
1.2400,-0.6818
0.9200,1.6882
1.4900,-0.9418
1.4700,-1.1318
0.8500,0.8482
0.7300,0.9382
0.9300,1.2082
0.9500,1.3682
0.9200,1.5982
0.7470,2.8782
0.5430,4.2682
0.6140,3.9382
1.6790,-1.4118
0.5320,4.2382
0.7400,3.4182
0.4450,4.9382
0.7610,3.7382
0.6650,2.5582
0.8510,2.2282
0.8380,1.7882
0.7810,4.2382
0.6240,4.2982
0.6580,4.9982
0.4100,4.7182
0.5980,4.6882
0.5840,3.8782
0.6510,2.9382
0.6280,1.0982
0.7310,2.1482
0.8630,2.8382
1.4680,-1.1318
0.7130,3.1182
0.5690,4.8582
1.2220,-0.2818
0.7920,0.8582
0.9490,1.3682
0.5730,1.4182
0.8830,0.5382
0.7550,5.6782
0.6460,4.5082
1.6440,3.7682
1.0040,0.8682
0.8460,2.3182
0.7790,0.7482
0.4600,-2.6418
0.9160,1.2082
1.5930,-1.3918
1.2310,-0.2618
0.7010,-3.1618
0.8340,0.8382
0.8480,2.2682
0.8780,2.1882
0.8840,0.6682
0.8100,0.8782
0.8500,2.1682
1.0150,0.8182
1.0000,1.8682
0.6470,-0.1118
1.6910,-1.2418
0.5720,4.0782
0.6150,4.4182
0.7080,5.1582
1.2410,4.2382
0.7850,3.4182
0.6000,4.7182
0.5300,5.0182
1.0190,4.0382
0.9090,3.1982
0.6810,2.5782
1.5160,-1.1118
1.1730,0.0082
1.4500,-1.1018
0.8650,0.8582
0.6260,2.6482
1.7920,3.8282
0.4970,3.2682
0.5890,5.1482
0.6160,4.5082
0.7560,3.7682
0.8980,2.2482
0.7160,0.7682
0.4480,-1.6018
0.7250,0.9182
0.6720,5.5582
0.7070,5.4182
0.6430,5.6982
0.8530,5.8082
0.7850,5.7582
0.6790,5.4382
0.9520,1.3082
0.9680,0.8982
0.8750,1.8682
1.0090,0.5082
1.4110,-0.8418
1.0730,0.4282
0.8530,1.8382
0.8330,0.8182
1.1170,0.3682
1.0680,0.4782
1.3130,-0.7718
0.9650,1.2482
1.0770,0.3182
1.5780,-1.3718
0.8400,5.7582
0.6600,5.0282
0.6100,4.3482
0.7400,5.7682
0.6600,5.5882
0.8300,5.7982
0.6300,4.3682
0.8700,5.7682
0.6600,3.9382
0.6700,5.0382
0.4900,3.4882
0.7800,5.7482
0.5700,4.1082
0.6500,4.8082
0.7900,5.6082
0.8500,2.2282
0.6500,5.3182
0.6700,5.2782
0.6300,4.3082
0.8000,3.0182
0.6200,3.9982
0.8000,5.2182
0.7600,5.6482
0.7900,3.8682
0.7300,5.6482
0.5600,4.2582
0.6000,4.7582
0.7900,5.7582
0.6900,5.2782
0.6900,5.5882
0.6900,3.8882
0.6700,4.9982
0.6000,4.6482
0.7300,5.4282
0.6600,4.9182
0.6800,5.3282
0.6300,4.7082
0.8900,5.6882
0.7800,5.7982
0.6900,5.5982
0.5800,4.7182
0.6500,5.0882
0.6500,5.0882
0.7900,3.8782
0.6800,4.0082
0.6800,4.9282
0.6900,5.4182
0.7400,5.7382
0.5200,5.8982
0.7200,5.3282
0.8400,5.6382
0.6500,5.3482
0.8700,2.2482
0.6100,4.9982
0.6000,4.6182
0.6200,4.3982
0.6000,4.1882
0.4700,4.6182
0.7800,3.8582
0.9300,1.6282
0.7800,3.6682
0.7700,5.8082
0.8800,5.7782
0.6900,5.2482
0.6900,3.9282
0.5700,4.1582
0.5800,4.6382
0.5300,4.2282
0.4500,4.7782
0.7000,5.0882
0.0100,4.8482
0.8200,2.1782
0.6200,4.0282
0.6800,5.6782
0.5800,4.1482
0.5600,4.3282
0.6600,-3.1418
0.4700,3.9082
0.7400,5.3182
0.6300,4.6282
0.7700,5.7182
0.5500,4.6982
0.5800,4.8182
0.6700,3.9182
0.7500,5.6382
0.3900,5.6182
0.6100,4.4682
0.9500,5.9682
0.4800,4.4782
0.8800,1.2682
0.5900,4.0782
0.5400,4.3482
0.6800,4.3782
0.6100,4.1482
0.7900,5.4282
0.8300,5.6682
0.7500,5.7582
0.6400,5.1382
0.6000,4.2482
0.8000,3.9082
0.6000,4.5082
0.7600,5.4282
0.6600,5.2182
0.7300,5.1582
0.6500,5.5782
0.6000,5.4482
0.8000,5.4982
0.6400,3.5782
0.6600,5.6682
0.5600,4.3682
0.6100,4.2882
0.6700,5.5182
0.8700,5.7982
0.7900,2.3682
0.7500,3.7782
0.7200,5.5582
1.0700,5.1382
0.6700,5.5682
0.7300,5.5682
0.7200,5.7882
0.6100,4.9082
0.6600,4.5082
1.0800,5.2882
0.5700,4.2182
0.6100,4.5682
0.7300,5.4382
0.5800,4.9482
0.6200,4.5082
0.7000,5.2682
0.7000,5.7482
0.6700,5.4982
0.8500,5.6482
0.6200,5.1982
0.6100,4.6282
0.7000,5.1582
0.6000,4.3482
0.8000,3.7282
0.6500,5.2282
0.7000,5.5882
0.6300,5.3082
0.6100,4.1782
0.7600,5.6382
0.8000,5.7582
0.6400,4.7182
0.6100,4.7882
0.6300,4.8482
0.6400,5.4982
0.7800,5.4182
0.8100,5.4982
0.6500,5.4082
0.6100,5.1282
0.6200,5.3282
0.8000,4.2382
0.6000,4.2182
0.6100,4.8482
0.9000,5.6282
0.9100,5.6582
0.8300,3.5382
1.0000,4.6582
0.5600,4.3982
0.8400,5.4682
0.7300,5.7482
0.6900,5.6982
0.6200,4.0882
0.5900,4.6182
0.6700,5.5382
0.5900,4.5582
0.6500,5.1982
0.6400,4.7282
0.5900,4.3882
0.5800,4.3282
0.8100,2.8582
0.6100,5.1982
0.7400,5.3382
0.4900,3.7982
0.6300,4.0582
0.6600,4.9082
0.6400,5.0982
0.7700,5.7482
0.7600,5.3382
0.6600,4.4982
0.7900,5.4882
0.7900,3.3482
0.5900,4.2882
0.6100,4.8782
0.6700,5.1782
0.7400,3.8982
0.6900,5.1382
0.6000,4.2582
0.5800,4.5182
0.7400,5.1882
0.7500,5.6782
0.8200,5.7682
0.6700,5.2682
0.6100,4.9082
0.5700,4.3382
0.5700,4.6882
0.6300,4.4482
0.6000,3.7782
0.8200,0.7182
0.7300,2.7582
0.5700,4.4982
0.7900,4.8782
0.5400,4.8282
1.3400,3.5582
0.6200,4.9682
0.8000,2.5382
0.6500,4.9982
0.6800,5.0882
0.5400,4.1682
0.8400,0.8582
0.3200,2.8782
0.8400,5.7382
0.7400,5.2982
0.7600,5.7682
0.6500,5.6682
0.7600,5.6682
0.7400,5.6682
0.5900,4.8582
0.6900,5.1282
0.7800,5.0982
0.6300,4.7082
0.6800,5.3682
0.6200,3.9482
0.7100,3.7482
0.6500,5.1782
0.7600,5.3682
0.8800,0.5982
0.9300,5.1682
0.6200,5.1182
0.9000,5.0782
0.6600,5.0182
0.8000,0.8782
0.8000,5.7082
0.6200,4.2382
0.8600,5.3082
0.6600,4.8882
0.9300,5.4782
0.8900,5.5082
0.6200,4.8582
0.6600,5.0282
1.1500,4.6882
0.6400,4.7582
0.7200,5.6082
0.6400,4.0882
0.5800,4.1982
0.7700,5.5282
0.7700,5.8982
0.4100,6.0782
0.6900,3.4782
0.8500,2.3682
1.1700,3.6782
0.6400,4.7482
0.8300,5.6382
0.6600,5.2182
0.6300,4.4382
0.6900,5.7882
0.6200,5.9482
0.6900,5.0982
0.8500,2.7682
0.6300,4.0382
0.7800,5.6782
0.5900,4.2382
0.7000,5.7682
0.7200,5.2282
0.5500,5.2682
0.7200,3.5482
0.7300,3.9182
0.8200,5.6182
0.6100,4.8082
1.1500,4.4582
0.8000,5.2882
0.0400,5.5982
0.8200,5.7482
0.6600,5.3182
0.7300,5.5382
0.7900,3.6482
0.7500,5.7282
0.6300,4.3082
0.8100,5.0182
0.7800,0.7882
0.7600,5.4182
0.7100,5.2082
0.6000,5.0182
0.9100,5.6482
0.8400,5.5882
0.6400,5.3482
0.6000,4.7882
0.6900,5.1482
0.7800,5.2982
0.6700,5.5682
0.6600,4.3782
0.5800,5.4182
0.7500,0.6882
0.6000,4.8282
0.7600,3.9382
0.6000,4.5282
0.6100,4.2982
0.7100,5.6082
0.6900,5.7782
0.7000,5.3182
0.8600,5.3482
0.7200,5.4882
1.0600,0.2082
0.5600,3.3782
0.7300,5.3682
0.7600,3.5682
0.4000,4.9282
0.6000,3.8582
0.6600,5.3482
0.6900,5.5382
0.5900,4.5082
0.5900,4.7682
0.7900,5.7382
0.6500,4.0482
0.7200,5.4482
0.5500,4.3782
0.6200,5.0882
0.6300,4.4482
0.6400,5.2082
0.5600,4.0182
0.5000,4.7182
