m,e01,e03,e05,e07,e09
0,0,0,0,0,0
0.031416,0.0071726,0.02958,0.0739,0.17514,0.51482
0.062832,0.014335,0.059058,0.14714,0.34541,0.95603
0.094248,0.021476,0.088335,0.21909,0.50659,1.2958
0.12566,0.028586,0.11731,0.28916,0.65551,1.5441
0.15708,0.035655,0.1459,0.35682,0.79025,1.7221
0.1885,0.042672,0.174,0.42164,0.91003,1.8492
0.21991,0.049628,0.20153,0.48325,1.0149,1.9397
0.25133,0.056512,0.22842,0.5414,1.1057,2.0037
0.28274,0.063316,0.2546,0.59589,1.1834,2.0483
0.31416,0.070029,0.27999,0.64662,1.2494,2.0784
0.34558,0.076642,0.30454,0.69356,1.3049,2.0974
0.37699,0.083148,0.3282,0.73674,1.3511,2.1079
0.40841,0.089536,0.35094,0.77622,1.3892,2.1119
0.43982,0.0958,0.37271,0.81213,1.4203,2.1107
0.47124,0.10193,0.39349,0.84459,1.4454,2.1055
0.50265,0.10792,0.41325,0.87378,1.4651,2.0971
0.53407,0.11376,0.43199,0.89986,1.4803,2.0862
0.56549,0.11945,0.4497,0.92301,1.4915,2.0733
0.5969,0.12498,0.46637,0.94342,1.4993,2.0587
0.62832,0.13034,0.48201,0.96127,1.5041,2.0429
0.65973,0.13553,0.49662,0.97673,1.5064,2.026
0.69115,0.14054,0.51021,0.98996,1.5065,2.0081
0.72257,0.14536,0.52281,1.0011,1.5045,1.9896
0.75398,0.15,0.53441,1.0104,1.5009,1.9703
0.7854,0.15445,0.54506,1.0179,1.4958,1.9506
0.81681,0.1587,0.55475,1.0237,1.4893,1.9303
0.84823,0.16276,0.56353,1.0281,1.4816,1.9096
0.87965,0.16661,0.57141,1.031,1.4728,1.8884
0.91106,0.17026,0.57841,1.0326,1.4631,1.8669
0.94248,0.1737,0.58457,1.033,1.4525,1.845
0.97389,0.17694,0.58991,1.0322,1.4411,1.8227
1.0053,0.17997,0.59446,1.0304,1.4289,1.8001
1.0367,0.18278,0.59823,1.0276,1.4161,1.7771
1.0681,0.18539,0.60127,1.024,1.4026,1.7539
1.0996,0.18778,0.60359,1.0194,1.3885,1.7303
1.131,0.18996,0.60521,1.014,1.3739,1.7064
1.1624,0.19193,0.60617,1.0079,1.3587,1.6822
1.1938,0.19368,0.60649,1.0011,1.343,1.6577
1.2252,0.19523,0.60619,0.99356,1.3268,1.6329
1.2566,0.19656,0.60529,0.98541,1.3102,1.6078
1.2881,0.19769,0.60381,0.97667,1.2931,1.5825
1.3195,0.1986,0.60179,0.96735,1.2757,1.5569
1.3509,0.19932,0.59923,0.95749,1.2578,1.5311
1.3823,0.19982,0.59615,0.94711,1.2395,1.505
1.4137,0.20013,0.59259,0.93625,1.2209,1.4787
1.4451,0.20023,0.58855,0.92492,1.2019,1.4522
1.4765,0.20014,0.58405,0.91315,1.1826,1.4255
1.508,0.19984,0.57911,0.90096,1.1629,1.3987
1.5394,0.19936,0.57375,0.88836,1.143,1.3716
1.5708,0.19869,0.56798,0.87538,1.1228,1.3444
1.6022,0.19782,0.56182,0.86204,1.1023,1.317
1.6336,0.19677,0.55528,0.84835,1.0816,1.2895
1.665,0.19554,0.54838,0.83432,1.0606,1.2619
1.6965,0.19414,0.54113,0.81998,1.0394,1.2342
1.7279,0.19255,0.53355,0.80534,1.018,1.2064
1.7593,0.1908,0.52564,0.79041,0.99635,1.1786
1.7907,0.18887,0.51742,0.77521,0.97456,1.1506
1.8221,0.18678,0.50891,0.75975,0.9526,1.1227
1.8535,0.18453,0.50011,0.74405,0.93049,1.0947
1.885,0.18212,0.49103,0.72811,0.90824,1.0666
1.9164,0.17956,0.4817,0.71195,0.88586,1.0386
1.9478,0.17684,0.4721,0.69558,0.86337,1.0106
1.9792,0.17398,0.46227,0.67901,0.84077,0.98253
2.0106,0.17097,0.4522,0.66226,0.81809,0.95453
2.042,0.16783,0.44192,0.64533,0.79533,0.92657
2.0735,0.16455,0.43141,0.62824,0.77251,0.89865
2.1049,0.16113,0.4207,0.61099,0.74963,0.87079
2.1363,0.15759,0.4098,0.5936,0.7267,0.84299
2.1677,0.15393,0.39871,0.57607,0.70374,0.81526
2.1991,0.15014,0.38744,0.55841,0.68076,0.78761
2.2305,0.14624,0.37601,0.54063,0.65775,0.76004
2.2619,0.14222,0.3644,0.52275,0.63473,0.73256
2.2934,0.1381,0.35265,0.50476,0.61172,0.70517
2.3248,0.13387,0.34074,0.48668,0.5887,0.67788
2.3562,0.12954,0.3287,0.46851,0.56569,0.65069
2.3876,0.12512,0.31653,0.45025,0.5427,0.6236
2.419,0.1206,0.30422,0.43193,0.51973,0.59662
2.4504,0.11599,0.2918,0.41353,0.49679,0.56975
2.4819,0.1113,0.27927,0.39507,0.47387,0.54298
2.5133,0.10653,0.26663,0.37656,0.45098,0.51631
2.5447,0.10167,0.25389,0.35799,0.42812,0.48975
2.5761,0.09675,0.24105,0.33937,0.4053,0.4633
2.6075,0.091756,0.22813,0.32072,0.38252,0.43694
2.6389,0.086697,0.21512,0.30202,0.35977,0.41068
2.6704,0.081576,0.20204,0.28328,0.33706,0.38452
2.7018,0.076398,0.18888,0.26452,0.31439,0.35845
2.7332,0.071165,0.17566,0.24573,0.29175,0.33246
2.7646,0.065883,0.16238,0.22691,0.26915,0.30656
2.796,0.060555,0.14904,0.20807,0.24659,0.28073
2.8274,0.055184,0.13565,0.18921,0.22406,0.25497
2.8588,0.049775,0.12221,0.17034,0.20156,0.22928
2.8903,0.044331,0.10874,0.15144,0.17908,0.20365
2.9217,0.038857,0.095222,0.13254,0.15664,0.17808
2.9531,0.033356,0.081678,0.11362,0.13422,0.15255
2.9845,0.027831,0.068106,0.094701,0.11181,0.12706
3.0159,0.022288,0.054511,0.075769,0.08943,0.10161
3.0473,0.016729,0.040899,0.056832,0.06706,0.076179
3.0788,0.011159,0.027274,0.03789,0.044701,0.050775
3.1102,0.0055816,0.013639,0.018946,0.022349,0.025384
3.1416,0,0,0,0,0
3.173,-0.0055816,-0.013639,-0.018946,-0.022349,-0.025384
3.2044,-0.011159,-0.027274,-0.03789,-0.044701,-0.050775
3.2358,-0.016729,-0.040899,-0.056832,-0.06706,-0.076179
3.2673,-0.022288,-0.054511,-0.075769,-0.08943,-0.10161
3.2987,-0.027831,-0.068106,-0.094701,-0.11181,-0.12706
3.3301,-0.033356,-0.081678,-0.11362,-0.13422,-0.15255
3.3615,-0.038857,-0.095222,-0.13254,-0.15664,-0.17808
3.3929,-0.044331,-0.10874,-0.15144,-0.17908,-0.20365
3.4243,-0.049775,-0.12221,-0.17034,-0.20156,-0.22928
3.4558,-0.055184,-0.13565,-0.18921,-0.22406,-0.25497
3.4872,-0.060555,-0.14904,-0.20807,-0.24659,-0.28073
3.5186,-0.065883,-0.16238,-0.22691,-0.26915,-0.30656
3.55,-0.071165,-0.17566,-0.24573,-0.29175,-0.33246
3.5814,-0.076398,-0.18888,-0.26452,-0.31439,-0.35845
3.6128,-0.081576,-0.20204,-0.28328,-0.33706,-0.38452
3.6442,-0.086697,-0.21512,-0.30202,-0.35977,-0.41068
3.6757,-0.091756,-0.22813,-0.32072,-0.38252,-0.43694
3.7071,-0.09675,-0.24105,-0.33937,-0.4053,-0.4633
3.7385,-0.10167,-0.25389,-0.35799,-0.42812,-0.48975
3.7699,-0.10653,-0.26663,-0.37656,-0.45098,-0.51631
3.8013,-0.1113,-0.27927,-0.39507,-0.47387,-0.54298
3.8327,-0.11599,-0.2918,-0.41353,-0.49679,-0.56975
3.8642,-0.1206,-0.30422,-0.43193,-0.51973,-0.59662
3.8956,-0.12512,-0.31653,-0.45025,-0.5427,-0.6236
3.927,-0.12954,-0.3287,-0.46851,-0.56569,-0.65069
3.9584,-0.13387,-0.34074,-0.48668,-0.5887,-0.67788
3.9898,-0.1381,-0.35265,-0.50476,-0.61172,-0.70517
4.0212,-0.14222,-0.3644,-0.52275,-0.63473,-0.73256
4.0527,-0.14624,-0.37601,-0.54063,-0.65775,-0.76004
4.0841,-0.15014,-0.38744,-0.55841,-0.68076,-0.78761
4.1155,-0.15393,-0.39871,-0.57607,-0.70374,-0.81526
4.1469,-0.15759,-0.4098,-0.5936,-0.7267,-0.84299
4.1783,-0.16113,-0.4207,-0.61099,-0.74963,-0.87079
4.2097,-0.16455,-0.43141,-0.62824,-0.77251,-0.89865
4.2412,-0.16783,-0.44192,-0.64533,-0.79533,-0.92657
4.2726,-0.17097,-0.4522,-0.66226,-0.81809,-0.95453
4.304,-0.17398,-0.46227,-0.67901,-0.84077,-0.98253
4.3354,-0.17684,-0.4721,-0.69558,-0.86337,-1.0106
4.3668,-0.17956,-0.4817,-0.71195,-0.88586,-1.0386
4.3982,-0.18212,-0.49103,-0.72811,-0.90824,-1.0666
4.4296,-0.18453,-0.50011,-0.74405,-0.93049,-1.0947
4.4611,-0.18678,-0.50891,-0.75975,-0.9526,-1.1227
4.4925,-0.18887,-0.51742,-0.77521,-0.97456,-1.1506
4.5239,-0.1908,-0.52564,-0.79041,-0.99635,-1.1786
4.5553,-0.19255,-0.53355,-0.80534,-1.018,-1.2064
4.5867,-0.19414,-0.54113,-0.81998,-1.0394,-1.2342
4.6181,-0.19554,-0.54838,-0.83432,-1.0606,-1.2619
4.6496,-0.19677,-0.55528,-0.84835,-1.0816,-1.2895
4.681,-0.19782,-0.56182,-0.86204,-1.1023,-1.317
4.7124,-0.19869,-0.56798,-0.87538,-1.1228,-1.3444
4.7438,-0.19936,-0.57375,-0.88836,-1.143,-1.3716
4.7752,-0.19984,-0.57911,-0.90096,-1.1629,-1.3987
4.8066,-0.20014,-0.58405,-0.91315,-1.1826,-1.4255
4.8381,-0.20023,-0.58855,-0.92492,-1.2019,-1.4522
4.8695,-0.20013,-0.59259,-0.93625,-1.2209,-1.4787
4.9009,-0.19982,-0.59615,-0.94711,-1.2395,-1.505
4.9323,-0.19932,-0.59923,-0.95749,-1.2578,-1.5311
4.9637,-0.1986,-0.60179,-0.96735,-1.2757,-1.5569
4.9951,-0.19769,-0.60381,-0.97667,-1.2931,-1.5825
5.0265,-0.19656,-0.60529,-0.98541,-1.3102,-1.6078
5.058,-0.19523,-0.60619,-0.99356,-1.3268,-1.6329
5.0894,-0.19368,-0.60649,-1.0011,-1.343,-1.6577
5.1208,-0.19193,-0.60617,-1.0079,-1.3587,-1.6822
5.1522,-0.18996,-0.60521,-1.014,-1.3739,-1.7064
5.1836,-0.18778,-0.60359,-1.0194,-1.3885,-1.7303
5.215,-0.18539,-0.60127,-1.024,-1.4026,-1.7539
5.2465,-0.18278,-0.59823,-1.0276,-1.4161,-1.7771
5.2779,-0.17997,-0.59446,-1.0304,-1.4289,-1.8001
5.3093,-0.17694,-0.58991,-1.0322,-1.4411,-1.8227
5.3407,-0.1737,-0.58457,-1.033,-1.4525,-1.845
5.3721,-0.17026,-0.57841,-1.0326,-1.4631,-1.8669
5.4035,-0.16661,-0.57141,-1.031,-1.4728,-1.8884
5.435,-0.16276,-0.56353,-1.0281,-1.4816,-1.9096
5.4664,-0.1587,-0.55475,-1.0237,-1.4893,-1.9303
5.4978,-0.15445,-0.54506,-1.0179,-1.4958,-1.9506
5.5292,-0.15,-0.53441,-1.0104,-1.5009,-1.9703
5.5606,-0.14536,-0.52281,-1.0011,-1.5045,-1.9896
5.592,-0.14054,-0.51021,-0.98996,-1.5065,-2.0081
5.6235,-0.13553,-0.49662,-0.97673,-1.5064,-2.026
5.6549,-0.13034,-0.48201,-0.96127,-1.5041,-2.0429
5.6863,-0.12498,-0.46637,-0.94342,-1.4993,-2.0587
5.7177,-0.11945,-0.4497,-0.92301,-1.4915,-2.0733
5.7491,-0.11376,-0.43199,-0.89986,-1.4803,-2.0862
5.7805,-0.10792,-0.41325,-0.87378,-1.4651,-2.0971
5.8119,-0.10193,-0.39349,-0.84459,-1.4454,-2.1055
5.8434,-0.0958,-0.37271,-0.81213,-1.4203,-2.1107
5.8748,-0.089536,-0.35094,-0.77622,-1.3892,-2.1119
5.9062,-0.083148,-0.3282,-0.73674,-1.3511,-2.1079
5.9376,-0.076642,-0.30454,-0.69356,-1.3049,-2.0974
5.969,-0.070029,-0.27999,-0.64662,-1.2494,-2.0784
6.0004,-0.063316,-0.2546,-0.59589,-1.1834,-2.0483
6.0319,-0.056512,-0.22842,-0.5414,-1.1057,-2.0037
6.0633,-0.049628,-0.20153,-0.48325,-1.0149,-1.9397
6.0947,-0.042672,-0.174,-0.42164,-0.91003,-1.8492
6.1261,-0.035655,-0.1459,-0.35682,-0.79025,-1.7221
6.1575,-0.028586,-0.11731,-0.28916,-0.65551,-1.5441
6.1889,-0.021476,-0.088335,-0.21909,-0.50659,-1.2958
6.2204,-0.014335,-0.059058,-0.14714,-0.34541,-0.95603
6.2518,-0.0071726,-0.02958,-0.0739,-0.17514,-0.51482
6.2832,0,0,0,-8.8818e-16,-8.8818e-16
